County,state,mortality_rate,number_death,cancer_incidence,number_cases,population_2015,age,income,poverty,household,married,unemployed,medicare,white,black,asian,BirthRate,group,random_n
"Alcona County, Michigan",Michigan,177,42,408.2,92,10349,56.6,36377,17.5,2.08,60.5,12.2,18.7,97.53554502,0.274881517,0.360189573,2.960526316,Group 3,0.042843796545639634
"Wheeler County, Oregon",Oregon,144.6,4,375,11,1358,56.5,33387,23.3,1.97,60.6,8.5,11.9,96.81008902,0,0.370919881,1.754385965,Group 3,0.2746920462232083
"Custer County, Colorado",Colorado,160.8,11,439.8,31,4445,56.4,48368,14.9,2.15,64.8,14,24.2,93.98094353,3.137346038,0,5.851979346,Group 2,0.15652466635219753
"Llano County, Texas",Texas,168.7,68,395.8,149,19796,56.3,45096,14.9,2.21,59,5.8,21.4,95.24918491,2.23567769,0.274284531,5.130927105,Group 3,0.13049285090528429
"Sierra County, California",California,158,9,312.8,16,2967,54.5,47293,13.8,2.38,52.4,8,25.5,96.42502483,0.099304866,0.033101622,2.073732719,Group 3,0.3335688605438918
"Iron County, Michigan",Michigan,167.6,41,344.3,72,11348,53.3,35961,17.3,2.07,51.2,9,19.7,96.56730686,0.504041019,0.36499522,4.683342203,Group 2,0.29418805288150907
"Presque Isle County, Michigan",Michigan,171.8,44,414.7,99,12841,53.2,39420,16.1,2.13,59.6,13.1,16.4,97.26931042,0.46022858,0.337500959,3.178368121,Group 1,0.12381129711866379
"Middlesex County, Virginia",Virginia,206.9,43,525.6,100,10606,52.7,48921,14.4,2.38,54.4,6.3,12.3,79.43454325,19.2964449,0,2.71468144,Group 3,0.19167272676713765
"Leelanau County, Michigan",Michigan,132.5,54,372.9,138,21981,52.4,60622,8.9,2.31,61.4,7.1,13.9,92.63733235,0.574131913,0.688958295,5.887253541,Group 1,0.3171456216368824
"Iron County, Wisconsin",Wisconsin,195.8,24,451.5,49,5794,52.4,39408,15.6,1.99,58.1,7,21.4,97.12205857,0.440155747,0.067716269,4.091341579,Group 2,0.07367822644300759
"Fall River County, South Dakota",South Dakota,187.8,25,515.1,61,6867,52.4,42007,17,2.14,52.3,4.1,17.6,87.05473501,1.12945265,0.79640892,6.16375345,Group 3,0.24009700841270387
"Wallowa County, Oregon",Oregon,150.3,20,457.3,53,6856,52.2,39743,15.8,2.18,57.3,9.5,21.3,95.59574158,0.30625638,0.233338195,4.545454545,Group 1,0.034140218049287796
"Madison County, Montana",Montana,129.5,17,378.7,46,7915,52.1,41539,12.6,2.23,55.3,4.8,13.7,95.69975538,0.772499034,0.051499936,3.238866397,Group 1,0.12068544421344995
"Sheridan County, North Dakota",North Dakota,124.8,4,374.8,9,1310,52,44990,16.1,2.05,63.2,2,23.3,98.27973074,0,0,4.95049505,Group 2,0.26734171248972416
"Divide County, North Dakota",North Dakota,93.8,4,330.6,11,2450,51.7,67344,8.3,2.07,64.5,0.7,6,95.67847882,0.475367329,0.864304235,14.4,Group 2,0.3468936225399375
"Baxter County, Arkansas",Arkansas,194.7,156,490.9,370,41053,51.5,37873,14.9,2.23,57.5,7.6,23.6,96.75194932,0.328947368,0.504385965,4.674318905,Group 1,0.2275004917755723
"Stone County, Missouri",Missouri,169.4,92,379.3,205,30943,51.3,40642,16.2,2.42,62.5,10.8,19.7,96.71713147,0.101992032,0.044621514,3.314818133,Group 1,0.1503631577361375
"Wibaux County, Montana",Montana,214.4,3,373.3,6,1130,51.2,43859,11.7,2.15,56.5,3,14.3,100,0,0,17.87709497,Group 2,0.2388455660548061
"Smith County, Kansas",Kansas,157.6,13,453.5494221,1962.667684,3704,50.7,41303,13.5,2.21,60.7,3.2,15.4,97.48663102,0.427807487,0.160427807,8.463949843,Group 1,0.3321222933009267
"Daniels County, Montana",Montana,197.5,6,444,13,1760,50.3,47376,10.8,1.99,57.2,2.6,11.7,98.17974972,0,0.170648464,7.560137457,Group 2,0.04501915816217661
"Clallam County, Washington",Washington,181.3,235,480.2,575,73486,50.1,47185,16.2,2.27,50.5,9.9,21,88.08928547,0.917165076,1.480724339,5.956137583,Group 2,0.11559016327373683
"Brunswick County, North Carolina",North Carolina,169.2,291,419.2,702,122765,50,47387,15.7,2.34,57.4,11.4,20.2,83.43598502,10.80344358,0.63920087,6.292374849,Group 3,0.1882021997589618
"Piscataquis County, Maine",Maine,194,53,478.1,128,16931,49.8,36994,20.3,2.24,52.8,10.5,25.8,96.57262765,0.37304733,0.466309163,6.290471785,Group 2,0.1660890830680728
"Camden County, Missouri",Missouri,152.7,107,399.4,279,44237,49.8,44410,17.5,2.6,57,9.1,19.7,96.46914199,0.507660437,0.703439798,5.73630137,Group 3,0.3215901313815266
"Sherman County, Oregon",Oregon,180.4,5,587.4,16,1680,49.8,53277,14.2,2.22,53.6,7.9,18.6,91.86629526,0.557103064,0.222841226,7.333333333,Group 3,0.16322288080118597
"Flagler County, Florida",Florida,174.6,300,444.8,698,105392,49.6,51556,11.6,0.0271,54.2,9.3,17.9,81.41253981,11.21220841,2.366470536,4.063558218,Group 2,0.11931138695217669
"Pickett County, Tennessee",Tennessee,160,14,483.4,38,5146,49.4,31996,19.2,2.25,66.7,4.9,21.8,97.68491269,0.74553659,0,8.686210641,Group 2,0.335557195590809
"Park County, Colorado",Colorado,137.9,23,402.1,74,16510,49.4,58487,9.4,2.2,59.2,5.6,15.2,95.8860955,0,0.963617271,4.06824147,Group 2,0.2158294152468443
"Greeley County, Kansas",Kansas,156.9,3,453.5494221,1962.667684,1330,49.4,52795,10.8,2.46,66.6,2.1,10.5,87.17320261,0.89869281,0.326797386,5.687203791,Group 2,0.2742375449743122
